intervention_key,intervention_name,scope,parameter_group,parameter_name,value_min,value_mode,value_max,primary_citation,evidence_level,notes
SR2_misting_station,Mobile Misting Station Deployment,short_run,A_spatial_effects,establishment_years,0,0,0,"Hendel M, Gutierrez P, Colombert M, Diab Y, Royon L. (2016). Measuring the effects of urban heat island mitigation techniques: field measurement results for pedestrian-level air temperature. Building ",medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,C_cost,cost_per_unit_usd,1500,4000,12000,"Commercial specifications: MistCooling.com (2023), CoolSpace CS-24 evaporative cooler, $3,200-4,800. Outdoor Misting Systems commercial product catalog (2023). Grey literature.",medium,lifecycle=5 yr
SR2_misting_station,Mobile Misting Station Deployment,short_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - no meaningful carbon co-benefit,medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,"DATA_UNAVAILABLE - net water consumer, not stormwater capturer",medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,medium,normalized 0-1 expert score
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,A_spatial_effects,delta_LST_per_unit,0,0,0,"Fouillet A, Rey G, Laurent F, Pavillon G, Bellec S, Guihenneuc-Jouyaux C, Clavel J, Jougla E, Hémon D. (2008). International Journal of Epidemiology, 37(2), 309-317. DOI: 10.1093/ije/dym253",medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,A_spatial_effects,local_air_temp_reduction_degC,0,0,0,"Fouillet A, Rey G, Laurent F, Pavillon G, Bellec S, Guihenneuc-Jouyaux C, Clavel J, Jougla E, Hémon D. (2008). International Journal of Epidemiology, 37(2), 309-317. DOI: 10.1093/ije/dym253",medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,A_spatial_effects,mortality_reduction_pct_per_household_reached,10,25,45,"Fouillet A, Rey G, Laurent F, Pavillon G, Bellec S, Guihenneuc-Jouyaux C, Clavel J, Jougla E, Hémon D. (2008). International Journal of Epidemiology, 37(2), 309-317. DOI: 10.1093/ije/dym253",medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,A_spatial_effects,effect_radius_m,0,0,0,"Fouillet A, Rey G, Laurent F, Pavillon G, Bellec S, Guihenneuc-Jouyaux C, Clavel J, Jougla E, Hémon D. (2008). International Journal of Epidemiology, 37(2), 309-317. DOI: 10.1093/ije/dym253",medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,A_spatial_effects,establishment_years,0,0,0,"Fouillet A, Rey G, Laurent F, Pavillon G, Bellec S, Guihenneuc-Jouyaux C, Clavel J, Jougla E, Hémon D. (2008). International Journal of Epidemiology, 37(2), 309-317. DOI: 10.1093/ije/dym253",medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,C_cost,cost_per_unit_usd,15,35,80,WHO Europe (2021). Health evidence network synthesis report 64. Copenhagen: WHO Regional Office for Europe. WHO/EURO:2021-2875-42196-58128.,medium,lifecycle=1 yr
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE,medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,DATA_UNAVAILABLE,medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
SR3_welfare_check,Targeted Welfare Check Outreach,short_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,medium,normalized 0-1 expert score
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,A_spatial_effects,delta_LST_per_unit,0,0,0,"Bouchama A & Knochel JP. (2002). Heat stroke. New England Journal of Medicine, 346(25), 1978-1988. DOI: 10.1056/NEJMra011089. Foundational: time to cooling is the primary determinant of heat stroke su",medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,A_spatial_effects,local_air_temp_reduction_degC,0,0,0,"Bouchama A & Knochel JP. (2002). Heat stroke. New England Journal of Medicine, 346(25), 1978-1988. DOI: 10.1056/NEJMra011089. Foundational: time to cooling is the primary determinant of heat stroke su",medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,A_spatial_effects,effect_radius_m,500,1500,3000,"Bouchama A & Knochel JP. (2002). Heat stroke. New England Journal of Medicine, 346(25), 1978-1988. DOI: 10.1056/NEJMra011089. Foundational: time to cooling is the primary determinant of heat stroke su",medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,A_spatial_effects,establishment_years,0,0,0,"Bouchama A & Knochel JP. (2002). Heat stroke. New England Journal of Medicine, 346(25), 1978-1988. DOI: 10.1056/NEJMra011089. Foundational: time to cooling is the primary determinant of heat stroke su",medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,A_spatial_effects,survival_improvement_pct_per_10min_response_reduction,10,25,40,"Bouchama A & Knochel JP. (2002). Heat stroke. New England Journal of Medicine, 346(25), 1978-1988. DOI: 10.1056/NEJMra011089. Foundational: time to cooling is the primary determinant of heat stroke su",medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,C_cost,cost_per_unit_usd,100,500,2000,"Spaite DW, Bobrow BJ, Stolz U, et al. (2016). Evaluation of the impact of prehospital protocols designed to minimize on-scene time for penetrating trauma. JAMA Surgery, 151(6), 574-581. DOI: 10.1001/j",medium,lifecycle=1 yr
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE,medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,DATA_UNAVAILABLE,medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
SR4_medical_prepositioning,Emergency Medical Pre-positioning,short_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,medium,normalized 0-1 expert score
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,A_spatial_effects,delta_LST_per_unit,-0.5,-1.5,-3.0,"Taleghani M. (2018). Outdoor thermal comfort through passive means: a review paper. Urban Climate, 26, 51-66. DOI: 10.1016/j.uclim.2018.08.005. Lindberg F & Grimmond CSB. (2011). Theoretical and Appli",medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,A_spatial_effects,local_air_temp_reduction_degC,0.5,2.0,5.0,"Taleghani M. (2018). Outdoor thermal comfort through passive means: a review paper. Urban Climate, 26, 51-66. DOI: 10.1016/j.uclim.2018.08.005. Lindberg F & Grimmond CSB. (2011). Theoretical and Appli",medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,A_spatial_effects,effect_radius_m,5,15,25,"Taleghani M. (2018). Outdoor thermal comfort through passive means: a review paper. Urban Climate, 26, 51-66. DOI: 10.1016/j.uclim.2018.08.005. Lindberg F & Grimmond CSB. (2011). Theoretical and Appli",medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,A_spatial_effects,establishment_years,0,0,0,"Taleghani M. (2018). Outdoor thermal comfort through passive means: a review paper. Urban Climate, 26, 51-66. DOI: 10.1016/j.uclim.2018.08.005. Lindberg F & Grimmond CSB. (2011). Theoretical and Appli",medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,C_cost,cost_per_unit_usd,500,2500,8000,"Commercial product specifications: Shade Sails USA (2023), premium UV-resistant shade sails 25-50 m2, $800-3,500. Tensile structure contractors (2023): $3,000-8,000 installed for commercial-grade temp",medium,lifecycle=5 yr
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - fabric shade structures provide no carbon sequestration,medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,DATA_UNAVAILABLE,medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
SR5_shade_structure,Temporary Shade Structure Deployment,short_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,medium,normalized 0-1 expert score
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,delta_LST_per_unit,-2.0,-4.5,-10.0,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,effect_radius_m,30,100,300,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,delta_NDVI_per_unit,0.05,0.15,0.3,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,delta_tree_cover_per_unit,2.0,8.0,20.0,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,delta_NDWI_per_unit,0.02,0.06,0.12,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,A_spatial_effects,establishment_years,3,7,15,"Chen X, Chen T, Zhao Z, et al. (2024). Cooling efficacy of trees across cities is determined by background climate, urban morphology, and tree trait. Communications Earth & Environment, 5, 707. DOI: 1",high,
LR1_tree_planting,Urban Tree Planting,long_run,C_cost,cost_per_unit_usd,70000,150000,430000,"NYC Parks Department. (2024). Fiscal Year 2024 Urban Forest Annual Report. New York City Department of Parks & Recreation. McPherson EG, Simpson JR, Peper PJ, Xiao Q. (2005). Municipal forest benefits",high,lifecycle=30 yr
LR1_tree_planting,Urban Tree Planting,long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0.05,0.2,0.5,"Nowak DJ, Greenfield EJ, Hoehn RE, Lapoint E. (2013). Environmental Pollution, 178, 229-236. DOI: 10.1016/j.envpol.2013.03.019",high,
LR1_tree_planting,Urban Tree Planting,long_run,D_cobenefits,stormwater_m3_per_unit_per_year,5,15,40,"Berland A, Shiflett SA, Shuster WD, Garmestani AS, Goddard HC, Herrmann DL, Hopton ME. (2017). The role of trees in urban stormwater management. Landscape and Urban Planning, 162, 167-177. DOI: 10.101",high,
LR1_tree_planting,Urban Tree Planting,long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,100,500,2000,,high,
LR1_tree_planting,Urban Tree Planting,long_run,D_cobenefits,biodiversity_score,0.8,0.8,0.8,,high,normalized 0-1 expert score
LR2_cool_roof,Cool Roof Retrofitting,long_run,A_spatial_effects,delta_LST_per_unit,-0.5,-1.5,-4.0,"Santamouris M. (2014). Solar Energy, 103, 682-703. DOI: 10.1016/j.solener.2012.07.003",high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,A_spatial_effects,effect_radius_m,0,0,0,"Santamouris M. (2014). Solar Energy, 103, 682-703. DOI: 10.1016/j.solener.2012.07.003",high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,A_spatial_effects,delta_NDVI_per_unit,0,0,0,"Santamouris M. (2014). Solar Energy, 103, 682-703. DOI: 10.1016/j.solener.2012.07.003",high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,A_spatial_effects,delta_albedo_per_unit,0.3,0.5,0.7,"Santamouris M. (2014). Solar Energy, 103, 682-703. DOI: 10.1016/j.solener.2012.07.003",high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,A_spatial_effects,establishment_years,0,0,0,"Santamouris M. (2014). Solar Energy, 103, 682-703. DOI: 10.1016/j.solener.2012.07.003",high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,C_cost,cost_per_unit_usd,1500,5000,20000,"Angi (2026). Roof Coating & Sealing Costs. Retrieved 2025. Akbari H, Levinson R, Stern S. (2008). Procedure for measuring the solar reflectance of flat or low-sloped roofing assemblies. Solar Energy, ",high,lifecycle=15 yr
LR2_cool_roof,Cool Roof Retrofitting,long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - no carbon sequestration for inert coating,high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - standard cool roofs do not retain stormwater,high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,2000,8000,25000,,high,
LR2_cool_roof,Cool Roof Retrofitting,long_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,high,normalized 0-1 expert score
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,delta_LST_per_unit,-1.0,-3.0,-7.0,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,effect_radius_m,50,200,500,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,delta_NDVI_per_unit,0.05,0.2,0.5,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,delta_tree_cover_per_unit,2,10,30,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,delta_NDWI_per_unit,0.05,0.15,0.3,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,A_spatial_effects,establishment_years,1,2,4,"Bowler DE, Buyung-Ali L, Knight TM, Pullin AS. (2010). Urban greening to cool towns and cities: A systematic review of the empirical evidence. Landscape and Urban Planning, 97(3), 147-155. DOI: 10.101",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,C_cost,cost_per_unit_usd,30000,150000,500000,"US EPA. (2023). Green Infrastructure Cost-Benefit Resources. Environmental Protection Agency. Rainplan.com (2025): $15-25/sq ft bioswale installation. NYC DEP Committee testimony (2025): $15,000-20,00",high,lifecycle=25 yr
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0.05,0.15,0.4,"Nowak DJ et al. (2013). Environmental Pollution, 178, 229-236. DOI: 10.1016/j.envpol.2013.03.019",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,D_cobenefits,stormwater_m3_per_unit_per_year,100,400,1500,"Ahiablame LM, Engel BA, Chaubey I. (2012). Effectiveness of low impact development practices: literature review and suggestions for future research. Water, Air, & Soil Pollution, 223(7), 4253-4273. DO",high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,high,
LR3_bgi,Blue-Green Infrastructure (BGI),long_run,D_cobenefits,biodiversity_score,0.7,0.7,0.7,,high,normalized 0-1 expert score
LR4_cool_pavement,Cool and Permeable Pavement,long_run,A_spatial_effects,delta_LST_per_unit,-0.5,-2.0,-6.0,"Santamouris M, Gaitani N, Spanou A, Saliari M, Giannopoulou K, Vasilakopoulou K, Kardomateas T. (2012). Using cool paving materials to improve microclimate of urban areas - design realization and resu",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,A_spatial_effects,effect_radius_m,0,0,0,"Santamouris M, Gaitani N, Spanou A, Saliari M, Giannopoulou K, Vasilakopoulou K, Kardomateas T. (2012). Using cool paving materials to improve microclimate of urban areas - design realization and resu",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,A_spatial_effects,delta_NDVI_per_unit,0,0,0,"Santamouris M, Gaitani N, Spanou A, Saliari M, Giannopoulou K, Vasilakopoulou K, Kardomateas T. (2012). Using cool paving materials to improve microclimate of urban areas - design realization and resu",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,A_spatial_effects,delta_albedo_per_unit,0.15,0.3,0.5,"Santamouris M, Gaitani N, Spanou A, Saliari M, Giannopoulou K, Vasilakopoulou K, Kardomateas T. (2012). Using cool paving materials to improve microclimate of urban areas - design realization and resu",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,A_spatial_effects,establishment_years,0,0,0,"Santamouris M, Gaitani N, Spanou A, Saliari M, Giannopoulou K, Vasilakopoulou K, Kardomateas T. (2012). Using cool paving materials to improve microclimate of urban areas - design realization and resu",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,C_cost,cost_per_unit_usd,5000,40000,150000,US EPA. (2023). Permeable Pavement Fact Sheet. EPA 832-F-99-040. Ferguson BK. (2005). Porous Pavements. Taylor & Francis. RS Means. (2023). Construction Cost Data. Gordian Group.,medium,lifecycle=15 yr
LR4_cool_pavement,Cool and Permeable Pavement,long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - pavement has no carbon sequestration,medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,D_cobenefits,stormwater_m3_per_unit_per_year,20,100,500,"Li H, Harvey JT, Holland TJ, Kayhanian M. (2013). The use of reflective and permeable pavements as a potential practice for heat island mitigation and stormwater management. Environmental Research Let",medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
LR4_cool_pavement,Cool and Permeable Pavement,long_run,D_cobenefits,biodiversity_score,0.1,0.1,0.1,,medium,normalized 0-1 expert score
LR5_green_corridor,Urban Green Corridor Development,long_run,A_spatial_effects,delta_LST_per_unit,-0.3,-1.5,-4.0,"Shashua-Bar L, Pearlmutter D, Erell E. (2009). Landscape and Urban Planning, 92(3-4), 179-186. DOI: 10.1016/j.landurbplan.2009.04.005",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,A_spatial_effects,effect_radius_m,10,50,150,"Shashua-Bar L, Pearlmutter D, Erell E. (2009). Landscape and Urban Planning, 92(3-4), 179-186. DOI: 10.1016/j.landurbplan.2009.04.005",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,A_spatial_effects,delta_NDVI_per_unit,0.02,0.08,0.2,"Shashua-Bar L, Pearlmutter D, Erell E. (2009). Landscape and Urban Planning, 92(3-4), 179-186. DOI: 10.1016/j.landurbplan.2009.04.005",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,A_spatial_effects,delta_tree_cover_per_unit,1,5,15,"Shashua-Bar L, Pearlmutter D, Erell E. (2009). Landscape and Urban Planning, 92(3-4), 179-186. DOI: 10.1016/j.landurbplan.2009.04.005",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,A_spatial_effects,establishment_years,2,5,10,"Shashua-Bar L, Pearlmutter D, Erell E. (2009). Landscape and Urban Planning, 92(3-4), 179-186. DOI: 10.1016/j.landurbplan.2009.04.005",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,C_cost,cost_per_unit_usd,15000,80000,400000,"Urban Land Institute. (2021). Green Infrastructure: A Landscape Approach. ULI. Andreou E. (2013). Thermal comfort in outdoor spaces and urban canyon microclimate. Renewable Energy, 55, 182-188. DOI: 1",medium,lifecycle=25 yr
LR5_green_corridor,Urban Green Corridor Development,long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0.01,0.05,0.2,"Derived from Nowak DJ et al. (2013) tree carbon data scaled to corridor tree density. Environmental Pollution, 178, 229-236. DOI: 10.1016/j.envpol.2013.03.019",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,D_cobenefits,stormwater_m3_per_unit_per_year,5,20,80,"US EPA Green Infrastructure Performance data, scaled to 100 linear m corridor area (~400-600 m2 depending on width).",medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
LR5_green_corridor,Urban Green Corridor Development,long_run,D_cobenefits,biodiversity_score,0.6,0.6,0.6,,medium,normalized 0-1 expert score
LR6_green_roof,Green Roof Installation,long_run,A_spatial_effects,delta_LST_per_unit,-0.3,-1.2,-3.0,"Susca T, Gaffin SR, Dell'Osso GR. (2011). Environmental Pollution, 159(8-9), 2119-2126. DOI: 10.1016/j.envpol.2011.03.007",medium,
LR6_green_roof,Green Roof Installation,long_run,A_spatial_effects,effect_radius_m,0,30,100,"Susca T, Gaffin SR, Dell'Osso GR. (2011). Environmental Pollution, 159(8-9), 2119-2126. DOI: 10.1016/j.envpol.2011.03.007",medium,
LR6_green_roof,Green Roof Installation,long_run,A_spatial_effects,delta_NDVI_per_unit,0.05,0.2,0.45,"Susca T, Gaffin SR, Dell'Osso GR. (2011). Environmental Pollution, 159(8-9), 2119-2126. DOI: 10.1016/j.envpol.2011.03.007",medium,
LR6_green_roof,Green Roof Installation,long_run,A_spatial_effects,delta_NDWI_per_unit,0.03,0.1,0.2,"Susca T, Gaffin SR, Dell'Osso GR. (2011). Environmental Pollution, 159(8-9), 2119-2126. DOI: 10.1016/j.envpol.2011.03.007",medium,
LR6_green_roof,Green Roof Installation,long_run,A_spatial_effects,establishment_years,1,2,4,"Susca T, Gaffin SR, Dell'Osso GR. (2011). Environmental Pollution, 159(8-9), 2119-2126. DOI: 10.1016/j.envpol.2011.03.007",medium,
LR6_green_roof,Green Roof Installation,long_run,C_cost,cost_per_unit_usd,100000,200000,800000,US EPA. (2023). Stormwater Management Green Roofs. EPA 832-F-99-058. Angi.com. (2026). Green Roof Cost Guide. HomeAdvisor. (2025). Green Roof Installation Cost.,medium,lifecycle=40 yr
LR6_green_roof,Green Roof Installation,long_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0.01,0.05,0.15,"Oberndorfer E et al. (2007). Green roofs as urban ecosystems: ecological structures, functions, and services. BioScience, 57(10), 823-833. DOI: 10.1641/B571005",medium,
LR6_green_roof,Green Roof Installation,long_run,D_cobenefits,stormwater_m3_per_unit_per_year,400,600,900,"Carter TL & Rasmussen TC. (2006). JAWRA, 42(5), 1261-1274. DOI: 10.1111/j.1752-1688.2006.tb05299.x",medium,
LR6_green_roof,Green Roof Installation,long_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,3000,10000,30000,,medium,
LR6_green_roof,Green Roof Installation,long_run,D_cobenefits,biodiversity_score,0.8,0.8,0.8,,medium,normalized 0-1 expert score
LR7_cool_morphology,Cool Urban Morphology / Building Form Optimization,long_run,A_spatial_effects,delta_LST_per_unit,-0.5,-2.0,-5.0,"Stewart ID & Oke TR. (2012). Bulletin of the American Meteorological Society, 93(12), 1879-1900. DOI: 10.1175/BAMS-D-11-00019.1",low,
LR7_cool_morphology,Cool Urban Morphology / Building Form Optimization,long_run,A_spatial_effects,effect_radius_m,0,50,200,"Stewart ID & Oke TR. (2012). Bulletin of the American Meteorological Society, 93(12), 1879-1900. DOI: 10.1175/BAMS-D-11-00019.1",low,
LR7_cool_morphology,Cool Urban Morphology / Building Form Optimization,long_run,A_spatial_effects,delta_NDVI_per_unit,0,0.05,0.2,"Stewart ID & Oke TR. (2012). Bulletin of the American Meteorological Society, 93(12), 1879-1900. DOI: 10.1175/BAMS-D-11-00019.1",low,
